City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ponta Do Sol,PT,2021-10-10 17:02:49,32.6667,-17.1,76.71,71,13,2.95
68,Souillac,MU,2021-10-10 17:02:50,-20.5167,57.5167,73.36,90,78,11.99
69,Bambanglipuro,ID,2021-10-10 17:02:50,-7.95,110.2833,76.39,84,70,4.18
70,Wanaka,NZ,2021-10-10 17:02:51,-44.7,169.15,44.26,86,100,7.4
71,Mocuba,MZ,2021-10-10 17:02:51,-16.8392,36.9856,75.42,79,9,11.72
72,Gravelbourg,CA,2021-10-10 17:02:51,49.8834,-106.5512,57.27,32,3,16.33
73,Conakry,GN,2021-10-10 16:58:53,9.538,-13.6773,87.37,79,20,9.22
74,Kendari,ID,2021-10-10 17:02:52,-3.945,122.4989,76.23,89,100,3.13
75,Vinukonda,IN,2021-10-10 17:02:52,16.05,79.75,80.47,78,100,3.51
76,Griffith,US,2021-10-10 17:02:53,41.5284,-87.4237,79.29,68,1,1.99
77,Inuvik,CA,2021-10-10 17:02:53,68.3499,-133.7218,28.44,93,75,2.3
78,Bandundu,CD,2021-10-10 17:02:54,-3.3167,17.3667,82.42,69,94,7.85
79,Magistralnyy,RU,2021-10-10 17:02:54,56.1725,107.4458,36.52,83,100,6.67
80,Opuwo,NA,2021-10-10 17:02:54,-18.0607,13.84,91.29,8,0,7.76
81,Pevek,RU,2021-10-10 17:02:55,69.7008,170.3133,22.06,91,100,6.55
82,Mount Gambier,AU,2021-10-10 17:02:55,-37.8333,140.7667,48.0,56,86,6.55
83,Esso,RU,2021-10-10 17:02:56,55.9333,158.7,20.5,93,72,2.66
84,Maceio,BR,2021-10-10 17:02:56,-9.6658,-35.7353,85.44,70,75,8.05
85,Esmeraldas,BR,2021-10-10 17:02:56,-19.7625,-44.3139,72.46,87,100,6.71
86,Saint-Philippe,RE,2021-10-10 17:02:57,-21.3585,55.7679,72.99,87,22,8.97
87,Suez,EG,2021-10-10 17:02:57,29.9737,32.5263,75.74,54,0,14.18
88,Beidao,CN,2021-10-10 17:02:58,34.5686,105.8933,41.38,93,67,2.37
89,Polis,CY,2021-10-10 17:02:58,35.0367,32.4264,75.02,85,1,4.47
90,Maues,BR,2021-10-10 17:02:58,-3.3836,-57.7186,96.69,36,84,4.83
91,Touros,BR,2021-10-10 17:02:59,-5.1989,-35.4608,85.53,54,62,14.12
92,Codrington,AU,2021-10-10 17:02:59,-38.2667,141.9667,45.28,77,71,9.91
93,Taoudenni,ML,2021-10-10 17:00:27,22.6783,-3.9836,104.07,6,78,4.38
94,Poum,NC,2021-10-10 17:03:00,-20.2333,164.0167,72.97,65,3,21.25
95,Boyuibe,BO,2021-10-10 17:03:00,-20.4167,-63.2833,72.66,69,99,3.47
96,Leningradskiy,RU,2021-10-10 17:03:00,69.3833,178.4167,18.09,91,100,4.85
97,Knysna,ZA,2021-10-10 17:03:01,-34.0363,23.0471,59.7,80,21,9.26
98,Ciudad Bolivar,VE,2021-10-10 17:03:02,8.1222,-63.5497,92.1,50,94,6.4
99,Grand Gaube,MU,2021-10-10 17:03:03,-20.0064,57.6608,73.38,81,54,7.0
100,Georgetown,MY,2021-10-10 17:03:03,5.4112,100.3354,80.89,85,20,0.0
101,Bolshevik,BY,2021-10-10 17:03:04,54.0065,27.5692,37.02,66,10,4.14
102,South Lake Tahoe,US,2021-10-10 16:58:09,38.9332,-119.9844,61.77,50,0,2.71
103,Jamestown,US,2021-10-10 16:58:56,42.097,-79.2353,70.02,71,97,8.01
104,Vaini,TO,2021-10-10 17:03:04,-21.2,-175.2,69.96,100,75,2.3
105,Guerrero Negro,MX,2021-10-10 17:03:05,27.9769,-114.0611,74.34,52,0,5.01
106,Port Keats,AU,2021-10-10 17:03:05,-14.25,129.55,81.09,78,33,11.95
107,Chenghai,CN,2021-10-10 17:03:06,23.4632,116.768,79.11,84,28,4.52
108,Verkhniy Fiagdon,RU,2021-10-10 17:03:06,42.8333,44.3053,39.87,80,57,3.56
109,Cedar Rapids,US,2021-10-10 16:59:04,42.0083,-91.6441,72.95,77,100,4.0
110,Bengkulu,ID,2021-10-10 17:03:06,-3.8004,102.2655,76.73,90,59,4.65
111,New Norfolk,AU,2021-10-10 17:03:07,-42.7826,147.0587,40.91,68,72,2.59
112,Bilma,NE,2021-10-10 17:03:07,18.6853,12.9164,91.02,9,85,8.12
113,Mar Del Plata,AR,2021-10-10 17:00:14,-38.0023,-57.5575,58.12,1,3,14.0
114,Dingle,PH,2021-10-10 17:03:08,10.9995,122.6711,75.31,93,100,7.85
115,Sao Sebastiao,BR,2021-10-10 17:03:08,-23.76,-45.4097,67.37,95,100,6.06
116,Dongsheng,CN,2021-10-10 17:03:08,39.8161,109.9776,38.98,31,0,5.61
117,Yellowknife,CA,2021-10-10 17:01:03,62.456,-114.3525,37.42,99,100,11.01
118,Martil,MA,2021-10-10 17:03:09,35.6166,-5.2752,77.07,81,100,16.51
119,Shirokiy,RU,2021-10-10 17:03:09,49.758,129.523,38.48,77,51,16.15
120,Bilgoraj,PL,2021-10-10 17:03:10,50.5411,22.722,46.45,50,3,7.27
121,Longyearbyen,SJ,2021-10-10 17:03:09,78.2186,15.6401,21.04,86,20,10.36
122,Arraial Do Cabo,BR,2021-10-10 17:03:10,-22.9661,-42.0278,69.66,83,90,14.97
123,Nouadhibou,MR,2021-10-10 17:03:11,20.931,-17.0347,70.18,81,0,24.09
124,Ahipara,NZ,2021-10-10 17:03:11,-35.1667,173.1667,52.38,81,79,5.82
