City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Takoradi,GH,77.43,broken clouds,4.8845,-1.7554,Raybow International Hotel
614,Nago,JP,86.07,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
616,Shimoda,JP,68.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
619,Sumbe,AO,73.94,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
621,Riohacha,CO,81.23,overcast clouds,11.5444,-72.9072,Hotel Taroa
622,Itamaraca,BR,80.65,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
623,Lasem,ID,83.34,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Restaurant & Community Center"
624,Kankon,IN,76.8,broken clouds,15.0167,74.0167,Palolem Beach Resort
627,Hirara,JP,86.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
628,General Roca,AR,70.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
629,Lahat,ID,77.36,moderate rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
633,Caranavi,BO,67.53,overcast clouds,-15.8167,-67.55,Hotel Landivar
634,Wanning,CN,70.0,moderate rain,18.8003,110.3967,Paradise Hotel
636,Mercedes,AR,65.86,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
641,Parkes,AU,66.34,overcast clouds,-33.1333,148.1833,Station Motel
643,Ixtapa,MX,78.76,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
646,Moron,AR,66.09,light rain,-34.6534,-58.6198,Hotel Morón
649,Ayer Tawar,MY,79.09,few clouds,4.2954,100.7548,Ayer Tawar CK Homestay
650,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
651,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
652,Denton,US,82.63,overcast clouds,33.2001,-97.1336,Hilton Garden Inn Denton
654,Dentsville,US,69.4,clear sky,34.064,-80.9582,Columbia Northeast Hotel
659,Brunswick,US,69.85,overcast clouds,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
662,Katubao,PH,86.0,overcast clouds,5.8892,124.8294,IML Ecopark
667,Sai Buri,TH,76.71,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
668,Acapulco,MX,81.48,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
672,Corn Island,NI,83.19,few clouds,12.1694,-83.0418,Big Fish Guest House
674,Hobyo,SO,78.12,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
675,Pontes E Lacerda,BR,79.92,broken clouds,-15.2261,-59.3353,Hotel Bressan
681,Mayumba,GA,76.5,overcast clouds,-3.432,10.6554,LIKWALE LODGE
682,Goderich,CA,66.52,overcast clouds,43.7501,-81.7165,Harmony Inn
687,Yenagoa,NG,77.18,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
688,Sur,OM,79.84,clear sky,22.5667,59.5289,Sur Plaza Hotel
689,Russellville,US,73.13,broken clouds,35.2784,-93.1338,Hampton Inn Russellville
