City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Romans-Sur-Isere,FR,45.0464,5.0562,51.85,81,98,11.59,overcast clouds
80,Naze,JP,28.3667,129.4833,81.52,77,100,14.56,overcast clouds
81,Constitucion,CL,-35.3333,-72.4167,50.81,87,34,2.86,scattered clouds
82,Seoul,KR,37.5683,126.9778,67.39,63,0,4.61,clear sky
83,Erenhot,CN,43.6475,111.9767,53.08,66,3,13.15,clear sky
84,Gonen,TR,40.1049,27.654,61.02,55,86,5.26,overcast clouds
85,Dayong,CN,25.0209,118.2898,83.89,82,99,3.91,light rain
86,Broome,US,42.2506,-75.833,63.91,88,20,1.99,few clouds
87,Great Bend,US,38.3645,-98.7648,63.12,79,90,7.0,overcast clouds
88,Namwala,ZM,-15.7504,26.4384,65.75,44,0,4.09,clear sky
89,Punta Arenas,CL,-53.15,-70.9167,53.71,40,0,13.8,clear sky
90,Vostok,RU,46.4856,135.8833,51.96,38,82,1.41,broken clouds
91,Santa Marta,CO,11.2408,-74.199,80.85,85,99,8.5,overcast clouds
92,Kaitangata,NZ,-46.2817,169.8464,46.51,67,100,11.81,overcast clouds
93,Saskylakh,RU,71.9167,114.0833,11.03,97,99,4.88,overcast clouds
94,Shiraz,IR,29.6036,52.5388,65.64,34,0,0.0,clear sky
95,Carnarvon,AU,-24.8667,113.6333,66.27,37,0,16.11,clear sky
96,Cabedelo,BR,-6.9811,-34.8339,75.87,73,33,10.29,scattered clouds
97,Clyde River,CA,70.4692,-68.5914,32.04,80,100,3.58,overcast clouds
98,Lagoa,PT,39.05,-27.9833,69.15,72,100,7.61,overcast clouds
99,Henties Bay,NA,-22.116,14.2845,59.86,93,90,7.85,overcast clouds
100,Korla,CN,41.7597,86.1469,49.1,27,0,11.01,clear sky
101,Upernavik,GL,72.7868,-56.1549,32.7,93,100,6.78,overcast clouds
102,Chissamba,AO,-12.1667,17.3333,66.04,55,85,3.56,overcast clouds
103,Sola,VU,-13.8833,167.55,88.47,74,75,5.75,broken clouds
104,Brownwood,US,31.7093,-98.9912,80.6,69,1,14.97,clear sky
105,Port Shepstone,ZA,-30.7414,30.455,67.42,88,89,6.46,overcast clouds
106,Thompson,CA,55.7435,-97.8558,42.96,93,90,8.05,overcast clouds
107,Srednekolymsk,RU,67.45,153.6833,18.18,79,100,2.17,overcast clouds
108,Skjold,DK,55.7971,9.9397,39.96,84,6,7.74,clear sky
109,Lompoc,US,34.6391,-120.4579,68.56,54,1,18.41,clear sky
110,Viedma,AR,-40.8135,-62.9967,59.58,86,100,10.09,overcast clouds
111,Sao Filipe,CV,14.8961,-24.4956,78.75,73,100,8.99,overcast clouds
112,Abha,SA,18.2164,42.5053,60.62,21,0,0.0,clear sky
113,College,US,64.8569,-147.8028,36.28,76,75,5.75,broken clouds
114,Georgetown,MY,5.4112,100.3354,82.33,87,20,5.01,few clouds
115,Venado Tuerto,AR,-33.7456,-61.9688,66.78,61,87,8.03,overcast clouds
116,La Ronge,CA,55.1001,-105.2842,41.22,65,1,3.44,clear sky
117,Lebu,CL,-37.6167,-73.65,53.38,88,44,1.43,scattered clouds
118,Urumqi,CN,43.801,87.6005,36.55,87,75,11.18,broken clouds
119,Mosquera,CO,4.7059,-74.2302,59.09,72,75,4.61,broken clouds
120,Lasa,IT,46.6166,10.7002,45.48,91,93,5.59,overcast clouds
121,Fairbanks,US,64.8378,-147.7164,36.3,75,90,1.01,overcast clouds
122,Tobol,KZ,52.6844,62.5794,45.99,67,100,6.62,overcast clouds
123,Champerico,GT,14.3,-91.9167,86.54,80,17,4.92,few clouds
124,Dunedin,NZ,-45.8742,170.5036,47.8,72,100,23.0,overcast clouds
125,Polyarnyye Zori,RU,67.3661,32.4981,39.7,92,97,6.55,overcast clouds
126,Sozimskiy,RU,59.7418,52.2482,39.45,96,48,5.35,scattered clouds
127,Hrusovany Nad Jevisovkou,CZ,48.8299,16.4027,48.85,95,100,1.99,overcast clouds
128,Jijiga,ET,9.35,42.8,62.19,84,95,4.68,overcast clouds
129,Nanortalik,GL,60.1432,-45.2371,39.45,76,0,3.51,clear sky
